Id,Year,Fuel_Type_Id,Consumption,Units
80,1995,4,64.0,Trillion BTU
81,2000,4,59.0,Trillion BTU
82,2005,4,52.0,Trillion BTU
83,2010,4,68.0,Trillion BTU
84,2011,4,76.0,Trillion BTU
85,2012,4,94.0,Trillion BTU
86,2013,4,120.0,Trillion BTU
87,2014,4,161.0,Trillion BTU
88,2015,4,196.0,Trillion BTU
89,2016,4,251.0,Trillion BTU
90,2017,4,329.0,Trillion BTU
91,2018,4,384.0,Trillion BTU
92,2019,4,430.0,Trillion BTU
93,2020,4,511.0,Trillion BTU
94,2021,4,627.0,Trillion BTU
95,2022,4,765.0,Trillion BTU
96,2023,4,878.0,Trillion BTU
97,1990,5,10.0,Trillion BTU
98,1995,5,11.0,Trillion BTU
99,2000,5,19.0,Trillion BTU
100,2005,5,61.0,Trillion BTU
101,2010,5,323.0,Trillion BTU
102,2011,5,410.0,Trillion BTU
103,2012,5,480.0,Trillion BTU
104,2013,5,573.0,Trillion BTU
105,2014,5,620.0,Trillion BTU
106,2015,5,651.0,Trillion BTU
107,2016,5,774.0,Trillion BTU
108,2017,5,868.0,Trillion BTU
109,2018,5,930.0,Trillion BTU
110,2019,5,1010.0,Trillion BTU
111,2020,5,1153.0,Trillion BTU
112,2021,5,1290.0,Trillion BTU
113,2022,5,1482.0,Trillion BTU
114,2023,5,1451.0,Trillion BTU
115,1950,6,344.0,Trillion BTU
116,1955,6,397.0,Trillion BTU
117,1960,6,510.0,Trillion BTU
118,1965,6,672.0,Trillion BTU
119,1970,6,856.0,Trillion BTU
120,1975,6,1034.0,Trillion BTU
121,1980,6,953.0,Trillion BTU
122,1985,6,970.0,Trillion BTU
123,1990,6,999.0,Trillion BTU
124,1995,6,1061.0,Trillion BTU
125,2000,6,940.0,Trillion BTU
126,2005,6,922.0,Trillion BTU
127,2010,6,888.0,Trillion BTU
128,2011,6,1090.0,Trillion BTU
129,2012,6,943.0,Trillion BTU
130,2013,6,916.0,Trillion BTU
131,2014,6,885.0,Trillion BTU
132,2015,6,850.0,Trillion BTU
133,2016,6,914.0,Trillion BTU
134,2017,6,1025.0,Trillion BTU
135,2018,6,998.0,Trillion BTU
136,2019,6,982.0,Trillion BTU
137,2020,6,973.0,Trillion BTU
138,2021,6,858.0,Trillion BTU
139,2022,6,869.0,Trillion BTU
140,2023,6,818.0,Trillion BTU
141,1950,7,1562.0,Trillion BTU
142,1955,7,1424.0,Trillion BTU
143,1960,7,1320.0,Trillion BTU
144,1965,7,1335.0,Trillion BTU
145,1970,7,1429.0,Trillion BTU
146,1975,7,1497.0,Trillion BTU
147,1980,7,2474.0,Trillion BTU
148,1985,7,2687.0,Trillion BTU
149,1990,7,2216.0,Trillion BTU
150,1995,7,2370.0,Trillion BTU
151,2000,7,2262.0,Trillion BTU
152,2005,7,2137.0,Trillion BTU
153,2010,7,2217.0,Trillion BTU
154,2011,7,2213.0,Trillion BTU
155,2012,7,2151.0,Trillion BTU
156,2013,7,2338.0,Trillion BTU
157,2014,7,2401.0,Trillion BTU
158,2015,7,2312.0,Trillion BTU
159,2016,7,2227.0,Trillion BTU
160,2017,7,2185.0,Trillion BTU
161,2018,7,2262.0,Trillion BTU
162,2019,7,2237.0,Trillion BTU
163,2020,7,1970.0,Trillion BTU
164,2021,7,1989.0,Trillion BTU
165,2022,7,2012.0,Trillion BTU
166,2023,7,1918.0,Trillion BTU
167,1985,8,93.0,Trillion BTU
168,1990,8,111.0,Trillion BTU
169,1995,8,200.0,Trillion BTU
170,2000,8,236.0,Trillion BTU
171,2005,8,574.0,Trillion BTU
172,2010,8,1821.0,Trillion BTU
173,2011,8,1941.0,Trillion BTU
174,2012,8,1899.0,Trillion BTU
175,2013,8,2026.0,Trillion BTU
176,2014,8,2099.0,Trillion BTU
177,2015,8,2185.0,Trillion BTU
178,2016,8,2333.0,Trillion BTU
179,2017,8,2364.0,Trillion BTU
180,2018,8,2355.0,Trillion BTU
181,2019,8,2376.0,Trillion BTU
182,2020,8,2136.0,Trillion BTU
183,2021,8,2331.0,Trillion BTU
184,2022,8,2433.0,Trillion BTU
185,2023,8,2662.0,Trillion BTU
186,1991,9,598.58,Trillion BTU
187,1992,9,743.9,Trillion BTU
188,1993,9,780.23,Trillion BTU
189,1994,9,698.92,Trillion BTU
190,1995,9,884.03,Trillion BTU
191,1996,9,799.26,Trillion BTU
192,1997,9,833.86,Trillion BTU
193,1998,9,660.86,Trillion BTU
194,1999,9,1006.86,Trillion BTU
195,2000,9,890.95,Trillion BTU
196,2001,9,911.71,Trillion BTU
197,2002,9,989.56,Trillion BTU
198,2003,9,1077.79,Trillion BTU
199,2004,9,866.73,Trillion BTU
200,2005,9,1008.59,Trillion BTU
201,2006,9,894.41,Trillion BTU
202,2007,9,787.15,Trillion BTU
203,2008,9,887.49,Trillion BTU
204,2009,9,854.62,Trillion BTU
205,2010,9,766.39,Trillion BTU
206,2011,9,880.57,Trillion BTU
207,2012,9,856.35,Trillion BTU
208,2013,9,736.98,Trillion BTU
209,2014,9,873.65,Trillion BTU
210,2015,9,820.02,Trillion BTU
211,2016,9,721.41,Trillion BTU
212,2017,9,787.15,Trillion BTU
213,2018,9,871.92,Trillion BTU
214,2019,9,747.36,Trillion BTU
215,2020,9,840.78,Trillion BTU
216,2021,9,768.12,Trillion BTU
217,2022,9,768.12,Trillion BTU
218,2023,9,759.47,Trillion BTU
